0,P237045.2.1,o 1
1,P237045.2.2,o 1
2,P237045.3.1,o 2
3,P237045.3.2,o 2
4,P237045.4.1,o 3
5,P237045.4.2,o 3
6,P237045.5.1,o 4
7,P237045.5.2,o 4
8,P237045.5.3,o 4
9,P237045.6.1,o 5
10,P237045.6.2,o 5
11,P237045.6.2,o 5
12,P237045.7.1,o 6
13,P237045.7.2,o 6
14,P237045.7.3,o 6
15,P237045.7.4,o 6
16,P237045.8.1,o 7
17,P237045.8.2,o 7
18,P237045.8.3,o 7
19,P237045.8.4,o 7
20,P237045.8.5,o 7
21,P237045.9.1,o 8
22,P237045.9.2,o 8
23,P237045.9.3,o 8
24,P237045.9.4,o 8
25,P237045.9.5,o 8
0,P393832.2.1,o 1
1,P393832.2.2,o 1
2,P393832.3.1,o 2
3,P393832.3.2,o 2
4,P393832.3.3,o 2
5,P393832.3.4,o 2
6,P393832.3.5,o 2
7,P393832.4.1,o 3
8,P393832.4.2,o 3
9,P393832.4.3,o 3
10,P393832.5.1,o 4
11,P393832.5.2,o 4
12,P393832.5.3,o 4
13,P393832.5.4,o 4
14,P393832.6.1,o 5
15,P393832.6.2,o 5
16,P393832.6.3,o 5
17,P393832.7.1,o 6
18,P393832.7.2,o 6
19,P393832.7.3,o 6
20,P393832.8.1,o 7
21,P393832.8.2,o 7
22,P393832.8.3,o 7
23,P393832.9.1,o 8
24,P393832.9.2,o 8
25,P393832.9.3,o 8
26,P393832.9.4,o 8
27,P393832.9.5,o 8
28,P393832.10.1,o 9
29,P393832.10.2,o 9
30,P393832.10.3,o 9
31,P393832.10.4,o 9
32,P393832.11.1,o 10
33,P393832.11.2,o 10
34,P393832.12.1,o 11
35,P393832.12.2,o 11
36,P393832.12.3,o 11
37,P393832.12.4,o 11
38,P393832.13.1,o 12
39,P393832.13.2,o 12
40,P393832.13.3,o 12
41,P393832.13.4,o 12
42,P393832.13.5,o 12
43,P393832.13.5,o 12
44,P393832.14.1,o 13
45,P393832.14.2,o 13
46,P393832.14.3,o 13
47,P393832.15.1,o 14
48,P393832.15.2,o 14
49,P393832.15.3,o 14
50,P393832.15.4,o 14
51,P393832.15.5,o 14
52,P393832.16.1,o 15
53,P393832.16.2,o 15
54,P393832.16.3,o 15
55,P393832.17.1,o 16
56,P393832.17.2,o 16
57,P393832.17.3,o 16
58,P393832.18.1,o 17
59,P393832.18.2,o 17
60,P393832.18.3,o 17
61,P393832.18.4,o 17
62,P393832.19.1,o 18
63,P393832.19.2,o 18
64,P393832.19.3,o 18
65,P393832.19.4,o 18
66,P393832.20.1,o 19
67,P393832.20.2,o 19
68,P393832.22.1,r 1
69,P393832.22.2,r 1
70,P393832.23.1,r 2
71,P393832.24.1,r 3
72,P393832.24.2,r 3
73,P393832.25.1,r 4
74,P393832.25.2,r 4
75,P393832.26.1,r 5
76,P393832.26.2,r 5
77,P393832.27.1,r 6
78,P393832.27.2,r 6
79,P393832.27.3,r 6
80,P393832.28.1,r 7
81,P393832.28.2,r 7
82,P393832.28.3,r 7
83,P393832.29.1,r 8
84,P393832.29.2,r 8
85,P393832.29.3,r 8
86,P393832.29.4,r 8
87,P393832.30.1,r 9
88,P393832.30.2,r 9
89,P393832.31.1,r 10
90,P393832.31.2,r 10
91,P393832.31.3,r 10
92,P393832.32.1,r 11
93,P393832.32.2,r 11
94,P393832.32.3,r 11
95,P393832.32.4,r 11
96,P393832.33.1,r 12
97,P393832.33.2,r 12
98,P393832.33.3,r 12
99,P393832.33.4,r 12
100,P393832.34.1,r 13
101,P393832.34.2,r 13
102,P393832.34.3,r 13
103,P393832.35.1,r 14
104,P393832.35.2,r 14
105,P393832.35.3,r 14
106,P393832.35.4,r 14
107,P393832.36.1,r 15
108,P393832.36.2,r 15
0,P395621.3.1,o 1'
1,P395621.3.2,o 1'
2,P395621.3.3,o 1'
3,P395621.3.4,o 1'
4,P395621.3.5,o 1'
5,P395621.4.1,o 2'
6,P395621.4.2,o 2'
7,P395621.4.3,o 2'
8,P395621.4.4,o 2'
9,P395621.5.1,o 3'
10,P395621.5.2,o 3'
11,P395621.5.3,o 3'
12,P395621.5.4,o 3'
13,P395621.5.5,o 3'
14,P395621.6.1,o 4'
15,P395621.6.2,o 4'
16,P395621.6.3,o 4'
17,P395621.6.4,o 4'
18,P395621.6.5,o 4'
19,P395621.6.6,o 4'
20,P395621.7.1,o 5'
21,P395621.7.2,o 5'
22,P395621.7.3,o 5'
23,P395621.7.4,o 5'
24,P395621.7.5,o 5'
25,P395621.7.6,o 5'
26,P395621.8.1,o 6'
27,P395621.8.2,o 6'
28,P395621.8.3,o 6'
29,P395621.8.4,o 6'
30,P395621.8.5,o 6'
31,P395621.8.6,o 6'
32,P395621.9.1,o 7'
33,P395621.9.2,o 7'
34,P395621.9.3,o 7'
35,P395621.9.4,o 7'
36,P395621.10.1,o 8'
37,P395621.10.2,o 8'
38,P395621.10.3,o 8'
39,P395621.10.4,o 8'
40,P395621.11.1,o 9'
41,P395621.11.2,o 9'
42,P395621.11.3,o 9'
43,P395621.12.1,o 10'
44,P395621.12.2,o 10'
45,P395621.12.3,o 10'
46,P395621.13.1,o 11'
47,P395621.13.2,o 11'
48,P395621.13.3,o 11'
