tlemma,rlemma,slemma,date,dialect,oolemma,dolemma,tidx,sidx,ridx,ooidx,doidx,ruler,Tiglath-pileser III,Sargon II,Sennacherib,Esarhaddon,Ashurbanipal,Sîn-šarru-iškun,tword,sword,rword,ooword,doword,Bad_analysis,etype,ootype,dotype,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Rhetorical_mode,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Notes,designation,ancient_author,ancient_recipient,provenience,genre,sender_loc
tlemma,rlemma,slemma,date,dialect,oolemma,dolemma,tidx,sidx,ridx,ooidx,doidx,x,Tiglath-pileser III,Sargon II,Sennacherib,Esarhaddon,Ashurbanipal,Sîn-šarru-iškun,tword,sword,rword,ooword,doword,Bad_analysis,etype,ootype,dotype,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Rhetorical_mode,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Notes,designation,ancient_author,ancient_recipient,provenience,genre,sender_loc
abāku,ina,libbu,681-669,Neo-Babylonian,,,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_16,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_18,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_17,,,Esarhaddon,,,,x,,,ītabak,libbi,ina,,,x,obl,,,http://oracc.org/saao/saa18/P240132,99,99,,,,,,,,,,,,,SAA 18 006,the crown prince,"deputy (governor, Nabû-dini-amur",Kuyunjik (Nineveh),Administrative Letter,(unknown)
abāku,ana,muhhu,681-669,Neo-Babylonian,,,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s96_37,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s96_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s96_11,,,Esarhaddon,,,,x,,,ābukaššu,muhhi,ana,,,x,obl,,,http://oracc.org/saao/saa18/P236983,96,96,I have (now) brought her in from Dilbat (⸢ul-tu⸣ dil-bat.⸢KI⸣ ki-i a-bu-kaš-šú),,,,,Statement,,,,,,,SAA 18 020,unknown,the king,Kuyunjik (Nineveh),Administrative Letter,Babylon
adānu,ina,libbu,670,,,,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s1_56,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s1_55,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s1_54,,,Esarhaddon,,,,x,,,adannāte,libbi,,,,x,obl,,,http://oracc.org/saao/saa10/P334714,1,1,,,,,,,,,,,,,SAA 10 071,Nabu-ahhe-eriba,,Kuyunjik (Nineveh),Scholarly Letter,
akalu,ana,libbu,681-669,Neo-Babylonian,,,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_88,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_87,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s41_86,,,Esarhaddon,,,,x,,,aklā,libbi,ana,,,x,obl,,,http://oracc.org/saao/saa18/P237109,41,41,,,,,,,,,,,,,SAA 18 123,no sender,the king,Kuyunjik (Nineveh),Administrative Letter,Babylonia
akālu,ina,muhhu,650,Neo-Babylonian,sin-šarru-uṣur,karṣu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s57_31,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s57_11,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s57_10,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s57_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s57_28,Ashurbanipal,,,,,x,,īkul,muhhi,ina,Sin-šarru-uṣur,karṣīka,x,obl,PROPN,NOUN,http://oracc.org/saao/saa21/P237902,57,57,,,,,,,,,,,,,SAA 21 037,the king,Sin-tabni-uṣur,Kuyunjik (Nineveh),Administrative Letter,Nineveh
akālu,ina,pānu,729,Neo-Assyrian,,hubtu,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_59,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_58,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_57,,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s27_56,Tiglath-pileser III,x,,,,,,šākil,pānīka,ina,,hubtu,x,obl,,NOUN,http://oracc.org/saao/saa19/P224441,27,27,,,,,,,,,,,,,SAA 19 081,Aššur-šallimanni,the king,Nimrud (Kalhu),Administrative Letter,Arrapha
alāku,ina,libbu,669-631,Neo-Babylonian,adû,qabû,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_70,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_66,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_65,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_67,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_68,Ashurbanipal,,,,,x,,tattallikā,libbi,ina,adê,qabā,x,obl,NOUN,NOUN,http://oracc.org/saao/saa21/P237273,32,32,,,,,,,,,,,,,SAA 21 036,the king,unknown,Kuyunjik (Nineveh),Administrative Letter,Nineveh
alāku,ina,libbu,721-705,Neo-Babylonian,,,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_30,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s99_29,,,Sargon II,,x,,,,,lillikūni,libbišunu,ina,,,x,obl,,,http://oracc.org/saao/saa17/P237936,99,99,,,,,,,,,,,,,SAA 17 017,Marduk-šuma-iddina,the king,Kuyunjik (Nineveh),Administrative Letter,Sippar
