0	1	a-de-e	adê	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	0	ROOT	_	_
1	2	ša	ša	ADP	PRP	_	3	case	_	_
2	3	{1}{d}30-MAN-GAR-un	{1}{d}30-man-gar-un	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	1	nmod	_	_
3	4	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	3	appos	_	_
4	5	KUR-aš-šur{KI	kur-aš-šur{ki	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	4	nmod:poss	_	SpaceAfter=No
5	7	DUMU	dumu	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	3	appos	_	_
6	8	{1}AN.ŠAR₂-DU₃-A	{1}an.šar₂-du₃-a	PROPN	RN	Case=Gen|Focus=No|Gender=Masc|NounBase=Free|Number=Sing	7	nmod:poss	_	_
7	9	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	8	appos	_	_
8	10	ŠU₂	šu₂	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	9	nmod:poss	_	_
9	11	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	8	appos	_	_
10	12	KUR-aš-šur{KI	kur-aš-šur{ki	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	11	nmod:poss	_	SpaceAfter=No
11	14	TA@v	ta@v	ADP	PRP	_	15	case	_	_
12	15	{1}{d}AG-A-SUM-na	{1}{d}ag-a-sum-na	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
13	16	x	x	X	X	_	_	_	_	_
14	17	x	x	X	X	_	_	_	_	_
15	18	x	x	X	X	_	_	_	_	_
16	19	x	x	X	X	_	_	_	_	_
17	20	x	x	X	X	_	_	_	_	_
18	21	x	x	X	X	_	_	_	_	_
19	22	x	x	X	X	_	_	_	_	_
20	23	x	x	X	X	_	_	_	_	_
21	24	x	x	X	X	_	_	_	_	_
22	25	TA@v	ta@v	ADP	ADP	_	26	case	_	_
23	26	{1}{ITI}AB-a.a	{1}{iti}ab-a.a	PROPN	EN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
24	27	x	x	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	x	x	X	X	_	_	_	_	_
28	31	x	x	X	X	_	_	_	_	_
29	32	x	x	X	X	_	_	_	_	_
30	33	x	x	X	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	TA@v	ta@v	ADP	PRP	_	36	case	_	_
33	36	{1}aq-ri	{1}aq-ri	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
34	37	x	x	X	X	_	_	_	_	_
35	38	x	x	X	X	_	_	_	_	_
36	39	x	x	X	X	_	_	_	_	_
37	40	x	x	X	X	_	_	_	_	_
38	41	x	x	X	X	_	_	_	_	_
39	42	x	x	X	X	_	_	_	_	_
40	43	x	x	X	X	_	_	_	_	_
41	44	x	x	X	X	_	_	_	_	_
42	45	i-na	ina	ADP	PRP	_	46	case	_	_
43	46	ma-har	mahar	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	48	obl	_	_
44	47	{d}SAG.ME.GAR	{d}sag.me.gar	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	46	nmod	_	_
45	48	{d}dil-bat	{d}dil-bat	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
46	49	x	x	X	X	_	_	_	_	_
47	50	x	x	X	X	_	_	_	_	_
48	51	x	x	X	X	_	_	_	_	_
49	52	x	x	X	X	_	_	_	_	_
50	53	x	x	X	X	_	_	_	_	_
51	54	x	x	X	X	_	_	_	_	_
52	55	x	x	X	X	_	_	_	_	_
53	56	x	x	X	X	_	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	x	x	X	X	_	_	_	_	_
56	59	x	x	X	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	x	x	X	X	_	_	_	_	_
59	62	x	x	X	X	_	_	_	_	_
60	63	x	x	X	X	_	_	_	_	_
61	64	x	x	X	X	_	_	_	_	_
62	65	x	x	X	X	_	_	_	_	_
63	66	MU	mu	X	N	_	_	_	_	_
64	67	AN.ŠAR₂	an.šar₂	PROPN	PN	Gender=Masc	_	_	_	_
65	68	EN	en	NOUN	NOUN	Gender=Masc|NounBase=Bound|Number=Sing	67	appos	_	_
66	69	ṣi-i-ri	ṣi-i-ri	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	68	nmod	_	_
67	70	x	x	X	X	_	_	_	_	_
68	71	x	x	X	X	_	_	_	_	_
69	72	x	x	X	X	_	_	_	_	_
70	73	x	x	X	X	_	_	_	_	_
71	74	ša	ša	PRON	PRON	_	83	obj	_	_
72	75	a.a-bi	a.a-bi	PRON	PRON	_	83	advmod	_	_
73	76	ra-im-a-nu	ra-im-a-nu	NOUN	NOUN	Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	83	dep	_	_
74	77	ša	ša	ADP	DET	_	78	case	_	_
75	78	ke-nu-ti	kēnūti	NOUN	NOUN	Case=Gen|Gender=Fem|Number=Sing	76	nmod	_	_
76	79	ša	ša	ADP	ADP	_	80	case	_	_
77	80	LUGAL	lugal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	78	nmod	_	_
78	81	AG₂-u₂-ni	ag₂-u₂-ni	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	80	appos	_	_
79	82	za-ia-ra-an-šu₂	za-ia-ra-an-šu₂	NOUN	VERB	Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	83	obj	_	_
80	83	u₂-hal-li-qu-ni	u₂-hal-li-qu-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=2|SubSuffix=Yes|Subordinative=Yes|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
81	84	man-nu	mannu	PRON	PRON	Case=Nom|Gender=Masc|Number=Sing	89	obj	_	_
82	85	ša	ša	PRON	PRON	_	86	case	_	_
83	86	da-bab	da-bab	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	84	acl	_	_
84	87	ṭup-pi	ṭuppi	NOUN	NOUN	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	86	nmod:poss	_	_
85	88	an-ni-e	annīe	DET	DP	Case=Gen|Gender=Masc|Number=Sing	87	det	_	_
86	89	e-nu-u-ni	e-nu-u-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=G|VerbSuffGen=Com|VerbSuffNum=Sing|VerbSuffPer=1	_	_	_	_
87	90	o	o	X	X	_	_	_	_	_
88	91	a-de-e	adê	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
89	92	DINGIR-MEŠ	dingir-meš	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	94	nsubj	_	_
90	93	GAL-MEŠ	gal-meš	ADJ	AJ	Case=Gen|Gender=Masc|Number=Plur	92	amod	_	_
91	94	i-haṭ-ṭu-u-ni	i-haṭ-ṭu-u-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|Tense=Pres|VerbForm=Fin|VerbStem=G	91	conj	_	_
92	95	x	x	X	X	_	_	_	_	_
93	96	x	x	X	X	_	_	_	_	_
94	97	ša₂	ša	ADP	DET	_	98	case	_	_
95	98	AN-e	an-e	NOUN	N	Gender=Masc|Number=Plur	103	obl	_	_
96	99	u	u	CCONJ	CNJ	_	100	cc	_	_
