0	1	ēkal	ēkallu	NOUN	N	Case=Acc|Focus=No|Gender=Masc|NounBase=Bound|Number=Sing	0	ROOT	_	_
1	2	Aššur-ahu-iddina	aššur-ahu-iddina	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	1	nmod:poss	_	_
2	3	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
3	4	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	_	_
4	5	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
5	6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	5	amod	_	_
6	7	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
7	8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	7	nmod:poss	_	_
8	9	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
9	10	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	9	nmod:poss	_	_
10	11	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	10	nmod:poss	_	_
11	12	šakkanak	šakkanakku	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
12	13	Babili	babili	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	12	nmod:poss	_	_
13	14	šar	šarru	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
14	15	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	14	nmod:poss	_	_
15	16	Šumeri	šumeri	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	15	nmod:poss	_	_
16	17	u	u	CONJ	CNJ	_	18	cc	_	_
17	18	Akkade	akkade	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	16	conj	_	_
18	19	mār	māru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
19	20	Sin-ahhe-eriba	sin-ahhe-eriba	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	19	nmod:poss	_	_
20	21	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	20	appos	_	_
21	22	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	21	amod	_	_
22	23	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	20	appos	_	_
23	24	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	23	nmod:poss	_	_
24	25	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	20	appos	_	_
25	26	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	25	nmod:poss	_	_
26	27	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	26	nmod:poss	_	_
27	28	mār	māru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	20	appos	_	_
28	29	Šarru-ukin	šarru-ukin	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	28	nmod:poss	_	_
29	30	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	29	appos	_	_
30	31	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	30	amod	_	_
31	32	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	29	appos	_	_
32	33	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	32	nmod:poss	_	_
33	34	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	29	appos	_	_
34	35	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	34	nmod:poss	_	_
35	36	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	35	nmod:poss	_	_
