0	1	ēkal	ēkallu	NOUN	N	Case=Acc|Focus=No|Gender=Masc|NounBase=Bound|Number=Sing	0	ROOT	_	_
1	2	Aššur-ahu-iddina	aššur-ahu-iddina	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	1	nmod:poss	_	_
2	3	šar	šarru	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
3	4	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	3	nmod:poss	_	_
4	5	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
5	6	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	5	nmod:poss	_	_
6	7	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	6	nmod:poss	_	_
7	8	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
8	9	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	8	nmod:poss	_	_
9	10	Šumeri	šumeri	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	9	nmod:poss	_	_
10	11	u	u	CONJ	CNJ	_	12	cc	_	_
11	12	Akkadi	akkadi	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	10	conj	_	_
12	13	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
13	14	Karduniaš	karduniaš	PROPN	GN	Gender=Masc|Number=Sing|Case=Gen	13	nmod:poss	_	_
