0	1	E₂.GAL	e₂.gal	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	0	ROOT	_	_
1	2	{m}aš-šur-PAP-AŠ	{m}aš-šur-pap-aš	PROPN	RN	Gender=Masc	1	nmod:poss	_	_
2	3	MAN	man	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
3	4	GAL	gal	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	_	_
4	5	MAN	man	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
5	6	dan-nu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	5	amod	_	_
6	7	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
7	8	ŠU₂	šu₂	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	7	nmod:poss	_	_
8	9	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
9	10	KUR	kur	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	9	nmod:poss	_	_
10	11	AŠ	aš	PROPN	GN	Gender=Masc	10	nmod:poss	_	_
11	12	GIR₃.NITA₂	gir₃.nita₂	NOUN	V	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
12	13	KA₂.DINGIR.RA{KI}	ka₂.dingir.ra{ki}	PROPN	RN	Gender=Masc	12	nmod:poss	_	_
13	14	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	13	appos	_	_
14	15	KUR	kur	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	14	nmod:poss	_	_
15	16	EME.GI₇	eme.gi₇	NOUN	N	Case=Gen|Gender=Fem|Number=Sing|PossSuffNum=Sing|PossSuffPer=1	15	nmod:poss	_	_
16	17	u	u	CCONJ	CNJ	_	18	cc	_	_
17	18	ak-ka-de-e	ak-ka-de-e	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	15	conj	_	_
18	19	A	a	NOUN	NOUN	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	13	appos	_	_
19	20	{m}{d}30-PAP.MEŠ-SU	{m}{d}30-pap.meš-su	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	19	nmod:poss	_	_
20	21	MAN	man	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	20	appos	_	_
21	22	dan-nu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	21	amod	_	_
22	23	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	20	appos	_	_
23	24	ŠU₂	šu₂	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	23	nmod:poss	_	_
24	25	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	20	appos	_	_
25	26	KUR	kur	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	25	nmod:poss	_	_
26	27	AŠ	aš	PROPN	GN	Gender=Masc	26	nmod:poss	_	_
27	28	A	a	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	20	appos	_	_
28	29	{m}MAN-GIN	{m}man-gin	PROPN	RN	Gender=Masc	28	nmod:poss	_	_
29	30	MAN	man	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	29	appos	_	_
30	31	dan-nu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	30	amod	_	_
31	32	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	29	appos	_	_
32	33	ŠU₂	šu₂	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	32	nmod:poss	_	_
33	34	MAN	man	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	29	appos	_	_
34	35	KUR	kur	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	34	nmod:poss	_	_
35	36	AŠ	aš	PROPN	GN	Gender=Masc	35	nmod:poss	_	_
36	1	 	 	PROPN	DN	Gender=Fem	0	ROOT	_	SpaceAfter=No
