0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	3	1}{d}PA-BAD₃-PAB	1}{d}pa-bad₃-pab	PROPN	u	_	_	_	_	_
2	4	IM	im	X	X	_	_	_	_	_
3	6	1}a-ri-hi	1}a-ri-hi	PROPN	PN	_	_	_	_	_
4	7	lu	lu	PART	PART	_	9	obj	_	_
5	8	DI-mu	di-mu	NOUN	VERB	Case=Acc|Gender=Masc|NounStem=Bound|Number=Sing	7	appos	_	_
6	9	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
7	10	DUMU	dumu	NOUN	NOUN	Case=Acc|Gender=Masc|Number=Plur|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	12	nsubj	_	_
8	11	ina	ina	ADP	PRP	_	12	case	_	_
9	12	UGU	ugu	X	X	_	_	_	_	_
10	14	ŠE}nu-sa-hi	še}nu-sa-hi	NOUN	NOUN	_	_	_	_	_
11	15	ša	ša	ADP	PRP	_	_	_	_	_
12	17	KUR}sa-mir-na-a.a	kur}sa-mir-na-a.a	PROPN	u	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
13	18	EN	en	X	u	_	_	_	_	_
14	19	ṭe₃-e-mu	ṭe₃-e-mu	NOUN	N	Case=Acc|Gender=Masc|Number=Sing	_	_	_	_
15	20	lu-te-re	lu-te-re	PART	RN	_	_	_	_	_
16	21	šum₂-mu	šum₂-mu	NUM	NUM	_	20	dep	_	_
17	22	i-ba-aš₂-ši	i-ba-aš₂-ši	NUM	ADP	_	23	case	_	_
18	23	šum₂-mu	šum₂-mu	NOUN	NOUN	Gender=Masc|Number=Plur	21	nmod:poss	_	_
19	24	la-aš₂-šu₂	la-aš₂-šu₂	NOUN	NOUN	_	23	nmod:poss	_	_
20	25	ina	ina	ADP	PRP	_	26	case	_	_
21	26	UGU	ugu	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	27	obl	_	_
22	27	ŠA₃-bi-ni	ša₃-bi-ni	X	X	_	28	obl	_	_
23	28	lu	lu	PART	PART	_	20	dep	_	_
24	29	DUG₃.GA	dug₃.ga	ADJ	DN	Case=Nom|Gender=Masc|Number=Sing	35	nsubj	_	_
25	30	EN-pi-qi-ta-te	en-pi-qi-ta-te	PROPN	N	Case=Nom	29	conj	_	_
26	31	EN-pi-qi-ta-te	en-pi-qi-ta-te	PROPN	WN	_	30	amod	_	_
27	32	qa-a-lu	qa-a-lu	ADJ	PROPN	Case=Gen|Gender=Masc|Number=Sing	29	dep	_	_
28	33	i-za-zu	i-za-zu	ADP	CNJ	_	35	mark	_	_
29	34	la	la	PROPN	PROPN	_	35	nsubj	_	_
30	35	il-lu-ku	il-lu-ku	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
31	36	dul-la-šu₂-nu	dul-la-šu₂-nu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	35	dep	_	_
32	37	e-pu-šu₂	e-pu-šu₂	ADV	ADV	_	_	_	_	_
33	38	la	la	X	X	_	_	_	_	_
34	39	ṭe₃-mu	ṭe₃-mu	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
35	40	ni-ša₂-kan-šu₂-nu	ni-ša₂-kan-šu₂-nu	PROPN	X	Gender=Masc|Number=Sing	_	_	_	_
36	41	ki-i	ki-i	X	X	_	_	_	_	_
37	42	an-ni-ma	an-ni-ma	ADP	PRP	_	43	case	_	_
38	43	TA@v	ta@v	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
39	44	MU.IM.MA	mu.im.ma	PROPN	NOUN	_	43	nmod:poss	_	_
40	45	a-du-na-kan-ni	a-du-na-kan-ni	NOUN	X	_	43	nmod	_	_
41	46	ina	ina	ADP	PRP	_	47	case	_	_
42	47	UGU	ugu	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
43	48	e-ri-bi	e-ri-bi	X	X	_	_	_	_	_
44	49	a-ta-na-har-ka	a-ta-na-har-ka	ADV	ADV	_	50	advmod	_	_
45	50	e-ri-bu-ma	e-ri-bu-ma	X	DET	_	_	_	_	_
46	51	la	la	PART	X	_	52	nsubj	_	_
47	52	nu-še-ri-ib	nu-še-ri-ib	ADJ	AJ	Gender=Masc|Number=Plur	_	_	_	_
48	53	u₂-ma-a	u₂-ma-a	ADV	CNJ	_	55	nsubj	_	_
49	54	ṭe₃-mu	ṭe₃-mu	NOUN	NOUN	Gender=Masc|Number=Plur	55	obj	_	_
50	55	te-re	te-re	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Plur	_	_	_	_
51	56	šum₂-mu	šum₂-mu	NOUN	NUM	Gender=Masc|Number=Plur	60	nsubj	_	_
52	57	i-ba-aš₂-ši	i-ba-aš₂-ši	NUM	ADP	_	58	nummod	_	_
53	58	šum₂-mu	šum₂-mu	NOUN	NOUN	Gender=Masc|Number=Plur	60	obl	_	_
54	59	la-aš₂-šu₂	la-aš₂-šu₂	NOUN	N	Gender=Masc|Number=Plur	58	nmod:poss	_	SpaceAfter=No
