0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	ADV	WN	_	1	dep	_	_
2	3	EN-ia	en-ia	VERB	N	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
3	4	ARAD-ka	arad-ka	NOUN	RN	Gender=Masc|Number=Plur	_	_	_	_
4	6	1}aš-šur-x	1}aš-šur-x	X	u	_	_	_	_	_
5	7	x+x	x+x	X	X	_	_	_	_	_
6	8	ina	ina	ADP	PRP	_	9	case	_	_
7	9	UGU	ugu	X	X	_	_	_	_	_
8	11	LU₂}DUMU-ŠAM₂-MEŠ	lu₂}dumu-šam₂-meš	NOUN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
9	13	LU₂}DUMU-ŠAM₂-MEŠ	lu₂}dumu-šam₂-meš	NOUN	X	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
10	14	ša	ša	ADP	PRP	_	_	_	_	_
11	16	URU}E₂.GAL-MEŠ	uru}e₂.gal-meš	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
12	17	ša	ša	ADP	PRP	_	18	case	_	_
13	18	LUGAL	lugal	NOUN	VERB	Case=Gen|Gender=Masc|Number=Sing	16	nmod	_	_
14	19	EN	en	X	X	_	20	advmod	_	_
15	20	iš-pur-ni-ni	iš-pur-ni-ni	X	X	_	_	_	_	_
16	21	x	x	X	X	_	_	_	_	_
17	22	x	x	X	X	_	_	_	_	_
18	24	LU₂}ERIM-MEŠ-MAN	lu₂}erim-meš-man	NOUN	X|u	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
19	26	LU₂}ERIM-MEŠ-MAN	lu₂}erim-meš-man	NOUN	X	_	_	_	_	_
20	27	x	x	X	X	_	_	_	_	_
21	28	x	x	X	X	_	_	_	_	_
22	29	x	x	X	X	_	_	_	_	_
23	30	x	x	X	X	_	_	_	_	_
24	31	x	x	X	X	_	_	_	_	_
25	33	LU₂}ERIM-MEŠ-MAN	lu₂}erim-meš-man	NOUN	X|u	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
26	35	LU₂}ERIM-MEŠ-MAN	lu₂}erim-meš-man	NOUN	X	_	_	_	_	_
27	36	x	x	X	X	_	_	_	_	_
28	37	x	x	X	X	_	_	_	_	_
29	38	x	x	X	X	_	_	_	_	_
30	39	x+x	x+x	X	X	_	_	_	_	_
31	40	ša₂	ša₂	X	X	_	_	_	_	_
32	41	x	x	X	X	_	_	_	_	_
33	42	x	x	X	X	_	_	_	_	_
34	43	a-sa-bar	a-sa-bar	ADV	X	_	_	_	_	_
35	44	ina	ina	ADP	PRP	_	45	case	_	_
36	45	UGU-hi-šu₂	ugu-hi-šu₂	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
37	46	šum-ma	šum-ma	ADP	ADP	_	47	obj	_	_
38	47	LUGAL	lugal	VERB	ADV	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
39	48	EN	en	X	X	_	_	_	_	_
40	49	i-qab-bi	i-qab-bi	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=G	50	nsubj	_	_
41	50	ki-ma	ki-ma	NOUN	NOUN	Case=Acc|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
42	52	LU₂}GAL-SAG	lu₂}gal-sag	PROPN	N	_	_	_	_	_
43	54	LU₂}GAL-SAG	lu₂}gal-sag	NOUN	NOUN	_	_	_	_	_
44	55	it-ta-lak	it-ta-lak	X	X	_	_	_	_	_
45	56	x	x	X	X	_	_	_	_	_
46	58	LU₂}u₂-ra-si	lu₂}u₂-ra-si	PROPN	SN	_	_	_	_	_
47	60	LU₂}DUMU-ŠAM₂-MEŠ	lu₂}dumu-šam₂-meš	NOUN	PN	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
48	62	LU₂}DUMU-ŠAM₂-MEŠ	lu₂}dumu-šam₂-meš	NOUN	X	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
49	63	x	x	X	X	_	_	_	_	_
50	64	x+x	x+x	X	X	_	_	_	_	_
51	65	o	o	X	X	_	_	_	_	_
52	66	bat-qu	bat-qu	PROPN	VERB	_	_	_	_	_
53	67	ša	ša	ADP	PRP	_	_	_	_	_
54	69	URU}ŠA₃-URU	uru}ša₃-uru	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
55	70	x	x	X	X	_	_	_	_	_
56	71	x	x	X	X	_	_	_	_	_
57	72	lik-ṣa-ru-ni	lik-ṣa-ru-ni	X	X	_	_	_	_	_
58	73	lu-u₂-še-še-ru-ni	lu-u₂-še-še-ru-ni	NOUN	VERB	Gender=Masc|Number=Plur	_	_	_	SpaceAfter=No
