0	1	13	13	NUM	NUM	_	2	nummod	_	_
1	2	KUŠ₃	kuš₃	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	0	ROOT	_	_
2	3	mu-lu-u	mu-lu-u	NOUN	NOUN	_	_	_	_	_
3	4	04	04	NUM	NUM	_	5	nummod	_	_
4	5	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
5	6	DAGAL	dagal	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	5	nmod	_	_
6	7	E₂	e₂	NOUN	N	Gender=Masc|Number=Plur	_	_	_	_
7	8	dan-ni	dan-ni	ADJ	AJ	Gender=Masc|Number=Plur	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	KUŠ₃	kuš₃	NOUN	NOUN	_	_	_	_	_
10	11	mu-lu-u	mu-lu-u	NOUN	NOUN	_	_	_	_	_
11	12	04	04	NUM	NUM	_	13	nummod	_	_
12	13	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	11	nmod	_	_
13	14	DAGAL	dagal	PROPN	NOUN	Case=Gen|Gender=Masc|Number=Sing	13	nmod	_	_
14	15	E₂	e₂	PROPN	PROPN	_	11	dep	_	_
15	16	qal₃-lu	qal₃-lu	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	KUŠ₃	kuš₃	NOUN	NOUN	_	_	_	_	_
18	19	mu-lu-u	mu-lu-u	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	18	nmod	_	_
19	20	03	03	NUM	NUM	_	21	nummod	_	_
20	21	KUŠ₃	kuš₃	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
21	22	ru-ṭu	ru-ṭu	NOUN	NOUN	Case=Acc|Gender=Masc|NounBase=Free|Number=Sing	21	nmod	_	_
