0	1	ana	ana	ADP	_	_	2	case	_	_
1	2	šarri	šarru	NOUN	_	Gender=Masc|Number=Sing|Case=Gen	0	ROOT	_	_
2	3	bēlīya	bēlu	NOUN	_	Gender=Masc|Number=Sing|Case=Gen|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	2	appos	_	_
3	4	urdaka	ardu	NOUN	_	Gender=Masc|Number=Sing|Case=Nom|PossSuffNum=Sing|PossSuffPer=2|PossSuffGen=Masc	2	nsubj	_	_
4	5	Nabu-pašir	Nabu-pašir	PROPN	_	Gender=Masc|Number=Sing|Case=Nom	4	appos	_	_
5	1	lū	lū	PART	_	_	2	advmod	_	_
6	2	šulmu	šulmu	NOUN	_	Gender=Masc|Number=Sing|Case=Nom	0	ROOT	_	_
7	3	ana	ana	ADP	_	_	4	case	_	_
8	4	šarri	šarru	NOUN	_	Gender=Masc|Number=Sing|Case=Gen	2	nsubj	_	_
9	5	bēlīya	bēlu	NOUN	_	Gender=Masc|Number=Sing|Case=Gen|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	4	appos	_	_
10	1	Sin	Sin	PROPN	_	Gender=Masc|Number=Sing|Case=Nom	7	nsubj	_	_
11	2	u	u	CONJ	_	_	3	cc	_	_
12	3	Nikkal	Nikkal	PROPN	_	Gender=Masc|Number=Sing|Case=Nom	1	conj	_	_
13	4	ana	ana	ADP	_	_	5	case	_	_
14	5	šarri	šarru	NOUN	_	Gender=Masc|Number=Sing|Case=Gen	7	obl	_	_
15	6	bēlīya	bēlu	NOUN	_	Gender=Masc|Number=Sing|Case=Gen|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	5	appos	_	_
16	7	likrubu	karābu	VERB	_	Gender=Masc|Number=Plur|Person=3|Mood=Prec|VerbStem=G	0	ROOT	_	_
17	1	ina	ina	ADP	_	_	2	case	_	_
18	2	muhhi	muhhu	NOUN	_	Gender=Masc|Number=Sing|Case=Gen	25	dislocated	_	_
19	3	ša	ša	PRON	_	_	6	obl	_	_
20	4	šarru	šarru	NOUN	_	Gender=Masc|Number=Sing|Case=Nom	6	nsubj	_	_
21	5	bēlī	bēlu	NOUN	_	Gender=Masc|Number=Sing|Case=Nom|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	4	appos	_	_
22	6	išpuranni	šapāru	VERB	_	Gender=Masc|Number=Sing|Person=3|Tense=Past|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes|Subordinative=Yes|SubSuff=Yes	2	nmod	_	_
23	7	mā	mā	PART	_	_	20	discourse	_	_
24	8	02	02	NUM	_	_	9	nummod	_	_
25	9	mē	meʾatu	NUM	_	_	10	nummod	_	_
26	10	imārī	imēru	NOUN	_	Gender=Masc|Number=Plur|Case=Acc	20	obj	_	_
27	11	šamnī	šamnu	NOUN	_	Gender=Masc|Number=Plur|Case=Gen	10	nmod	_	_
28	12	ina	ina	ADP	_	_	13	case	_	_
29	13	libbi	libbu	NOUN	_	Gender=Masc|Number=Sing|Case=Nom|NounStem=Bound	_	_	_	_
30	14	Til-Bursiba	Til-Barsip	PROPN	_	Gender=Masc|Number=Sing|Case=Gen	13	nmod	_	_
31	15	ana	ana	ADP	_	_	16	case	_	_
32	16	Kiṣir-Aššur	Kiṣir-Aššur	PROPN	_	Gender=Masc|Number=Sing|Case=Gen	20	iobj	_	_
33	17	pāhutu	pīhātu	NOUN	_	Gender=Masc|Number=Sing|Case=Gen	16	appos	_	_
