0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	NOUN	AV	Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	1	dep	_	_
2	3	be-li₂-ia	be-li₂-ia	ADV	ADV	_	2	conj	_	_
3	4	ARAD-ka	arad-ka	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
4	6	1}x	1}x	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
5	7	x	x	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	x	x	X	X	_	_	_	_	_
8	10	x	x	X	X	_	_	_	_	_
9	11	lu-u	lu-u	PROPN	X	_	_	_	_	_
10	12	DI-mu	di-mu	VERB	EN	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Past|VerbForm=Fin|VerbStem=G	13	obj	_	_
11	13	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
12	14	LUGAL	lugal	ADV	RP	_	13	conj	_	_
13	15	be-li₂-ia₂	be-li₂-ia₂	NOUN	N	Gender=Fem|Number=Sing	_	_	_	_
14	17	d}IM	d}im	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	_	_	_	_
15	19	d}AMAR	d}amar	ADJ	N	Case=Acc|Gender=Fem|Number=Sing	20	obj	_	_
16	20	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
17	21	LUGAL	lugal	ADV	ADV	_	20	dep	_	_
18	22	be-li₂-ia₂	be-li₂-ia₂	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
19	23	lik-ru-bu	lik-ru-bu	VERB	VERB	Gender=Masc|Mood=Prec|Number=Plur|Person=3|Ventive=Yes|VerbStem=Š	22	conj	_	_
20	24	un-qu	un-qu	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=Š	_	_	_	_
21	25	ša	ša	ADP	PRP	_	26	case	_	_
22	26	LUGAL	lugal	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	24	nmod	_	_
23	27	be-li₂-ia₂	be-li₂-ia₂	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
24	28	ina	ina	ADP	PRP	_	29	case	_	_
25	29	UGU	ugu	NOUN	u	_	_	_	_	_
26	30	ṭe₃-me	ṭe₃-me	X	X	_	_	_	_	_
