0	1	ša	ša	ADP	PRP	_	2	case	_	_
1	2	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	0	ROOT	_	_
2	3	be-li₂	be-li₂	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
3	4	iš-pur-an-ni	iš-pur-an-ni	NUM	VERB	_	3	nmod:poss	_	_
4	5	ma-a	ma-a	X	X	_	_	_	_	_
5	6	a-ta-a	a-ta-a	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	12	NA₄}{d}ALAD.{d}LAMA	na₄}{d}alad.{d}lama	X	X	_	_	_	_	_
11	13	x	x	X	X	_	_	_	_	_
12	14	x	x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	SpaceAfter=No
