0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	NOUN	AV	Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	1	dep	_	_
2	3	be-li₂-ia	be-li₂-ia	ADV	N	_	_	_	_	_
3	4	ARAD-ka	arad-ka	NOUN	N	Gender=Masc|Number=Plur	_	_	_	_
4	6	1}a-mar-DINGIR	1}a-mar-dingir	PROPN	u	_	_	_	_	_
5	7	BAD₃	bad₃	NOUN	n	Case=Nom|Gender=Masc|Number=Sing	12	dislocated	_	_
6	8	ša	ša	ADP	PRP	_	9	case	_	_
7	9	E₂.GAL	e₂.gal	PROPN	PROPN	_	7	nmod	_	_
8	10	ša	ša	ADP	PRP	_	11	obj	_	_
9	11	im-qu-ta-a-ni	im-qu-ta-a-ni	NOUN	VERB	Case=Gen|Gender=Masc|Number=Plur	9	acl:relcl	_	_
10	12	nu-up-ta-si-ik	nu-up-ta-si-ik	ADJ	VERB	_	_	_	_	_
11	13	ina	ina	ADP	PRP	_	14	case	_	_
12	14	UGU	ugu	PROPN	u	Case=Gen|Gender=Masc|Number=Sing	15	obl	_	_
13	15	uš-še	uš-še	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|VerbStem=S	_	_	_	_
14	16	ha-ra-aṣ-ṣi	ha-ra-aṣ-ṣi	NOUN	N	Case=Acc|Gender=Masc|Number=Plur	17	obj	_	_
15	17	ni-iq-ṭi₂-rib	ni-iq-ṭi₂-rib	NOUN	VERB	Gender=Masc|NounBase=Bound|Number=Sing	15	conj	_	_
16	18	E₂-kar-me	e₂-kar-me	PROPN	DN	Gender=Masc	_	_	_	_
17	19	E₂-kar-me	e₂-kar-me	PROPN	DN	_	18	conj	_	_
18	20	ša	ša	ADP	PRP	_	21	case	_	_
19	21	bi-ir-ti	bi-ir-ti	PROPN	SBJ	_	22	case	_	_
20	22	E₂-ŠU.2	e₂-šu.2	NOUN	NOUN	Case=Loc|Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	18	appos	_	_
21	23	E₂-ŠU.2	e₂-šu.2	NOUN	NOUN	_	18	nmod:poss	_	_
22	25	LU₂}ša₂-IGI-E₂.GAL	lu₂}ša₂-igi-e₂.gal	PROPN	PROPN	_	29	nsubj	_	_
23	26	ša	ša	ADP	PRP	_	27	case	_	_
24	27	bi-ir-ti	bi-ir-ti	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|VerbForm=Stat|VerbStem=G	25	acl	_	_
25	28	BAD₃	bad₃	NOUN	TN	_	27	nmod:poss	_	_
26	29	it-tuq-ta	it-tuq-ta	VERB	PRP	Gender=Masc|Mood=Ind|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
27	31	ŠE}PAD-MEŠ	še}pad-meš	PROPN	PN	Gender=Masc	_	_	_	_
28	32	x	x	X	X	_	_	_	_	_
29	33	x	x	X	X	_	_	_	_	_
30	34	x	x	X	X	_	_	_	_	_
31	35	ina	ina	ADP	PRP	_	36	case	_	_
32	36	E₂-ŠU.2	e₂-šu.2	NOUN	NOUN	_	_	_	_	_
33	37	E₂-ŠU.2	e₂-šu.2	NOUN	NOUN	_	_	_	_	_
34	38	x	x	X	X	_	_	_	_	_
35	39	x	x	X	X	_	_	_	_	_
36	40	ina	ina	ADP	PRP	_	41	case	_	_
37	41	E₂-ŠU.2	e₂-šu.2	NOUN	NOUN	_	_	_	_	_
38	42	E₂-ŠU.2	e₂-šu.2	NOUN	NOUN	_	_	_	_	_
39	43	x	x	X	X	_	_	_	_	_
40	44	x	x	X	X	_	_	_	_	_
41	45	bat-qu	bat-qu	PROPN	VERB	_	_	_	_	_
42	46	ni-iṣ-ṣa-bat	ni-iṣ-ṣa-bat	X	X	_	_	_	_	_
43	47	x	x	X	X	_	_	_	_	_
44	48	x	x	X	X	_	_	_	_	_
45	49	x	x	X	X	_	_	_	_	_
46	50	ni-ta-ba-ak	ni-ta-ba-ak	NOUN	VERB	Gender=Masc|Number=Plur	_	_	_	SpaceAfter=No
