0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	NOUN	AV	Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	1	dep	_	_
2	3	be-li₂-ia	be-li₂-ia	ADV	N	_	2	conj	_	_
3	4	ARAD-ka	arad-ka	NOUN	N	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
4	6	1}aš-šur-ba-ni	1}aš-šur-ba-ni	VERB	VERB	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Pres|Ventive=Yes|VerbForm=Fin|VerbStem=Š	_	_	_	_
5	7	u₃	u₃	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	x	x	X	X	_	_	_	_	_
8	10	x	x	X	X	_	_	_	_	_
9	11	x	x	X	X	_	_	_	_	_
10	12	x	x	X	X	_	_	_	_	_
11	13	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
12	14	ur-x	ur-x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	_
15	17	x	x	X	X	_	_	_	_	_
16	18	du₆-li	du₆-li	X	X	_	_	_	_	_
17	19	x	x	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	a-ke-e	a-ke-e	X	X	_	22	case	_	_
20	22	ne₂-pu-uš	ne₂-pu-uš	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
21	23	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
22	24	bat-qi	bat-qi	ADJ	NOUN	Case=Acc|Gender=Masc|Number=Sing	23	dep	_	_
23	25	ša	ša	ADP	PRP	_	26	case	_	_
24	26	E₂-{d}15	e₂-{d}15	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	24	nmod	_	_
25	27	o	o	X	X	_	28	obj	_	_
26	28	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
27	29	E₂-kad-mu-ri	e₂-kad-mu-ri	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
28	30	o	o	X	X	_	31	obj	_	_
29	31	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
30	32	E₂-{d}7.BI	e₂-{d}7.bi	PROPN	TN	_	_	_	_	_
31	33	o	o	X	X	_	34	obj	_	_
32	34	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
33	35	E₂-{d}IM-ša₂-zu-un-ni	e₂-{d}im-ša₂-zu-un-ni	PROPN	X	_	_	_	_	_
34	36	o	o	X	X	_	_	_	_	_
35	37	TA	ta	X	VERB	_	_	_	_	_
36	38	a-a-ka	a-a-ka	VERB	NOUN	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|Tense=Past|VerbForm=Fin|VerbStem=G	39	obj	_	_
37	39	ni-na-ši-a	ni-na-ši-a	X	X	_	_	_	_	_
38	40	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
39	42	1}ki-ṣir-aš-šur	1}ki-ṣir-aš-šur	PROPN	PN	Gender=Masc	41	conj	_	_
40	43	liš-pu-ru	liš-pu-ru	PROPN	VERB	_	_	_	_	_
41	45	ŠE}IN.NU	še}in.nu	NOUN	DN	_	_	_	_	_
42	46	ša	ša	ADP	PRP	_	47	case	_	_
43	47	URU-ša₂-{LU₂}DAM.QAR	uru-ša₂-{lu₂}dam.qar	PROPN	TN	_	45	nmod	_	_
44	48	ša	ša	ADP	PRP	_	_	_	_	_
45	50	URU}ši-i-tab-ni	uru}ši-i-tab-ni	X	X	_	_	_	_	_
46	51	lu-ra-am-mi	lu-ra-am-mi	VERB	NOUN	Gender=Masc|Mood=Prec|Number=Plur|Person=3|VerbStem=D	52	nummod	_	_
47	52	du₆-lu	du₆-lu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
48	53	ina	ina	ADP	PRP	_	54	case	_	_
49	54	ŠA₃-bi	ša₃-bi	PROPN	DN	Gender=Masc	56	obl	_	_
50	55	ne₂-pu-uš	ne₂-pu-uš	PROPN	PROPN	_	54	conj	_	SpaceAfter=No
