0	1	ša	ša	ADP	PRP	_	2	case	_	_
1	2	LUGAL	lugal	NOUN	NU|NU|n|NU	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	0	ROOT	_	_
2	3	EN	en	ADV	u	_	4	dep	_	_
3	4	iq-bu-u-ni	iq-bu-u-ni	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
4	5	ma-a	ma-a	NOUN	N	Gender=Masc|Number=Plur	6	nsubj	_	_
5	6	i-si-šu₂-nu	i-si-šu₂-nu	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
6	7	lu	lu	PART	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	ma-a	ma-a	X	X	_	_	_	_	_
11	13	LU₂}ma-aq-tu	lu₂}ma-aq-tu	PROPN	PROPN	_	_	_	_	_
12	14	x	x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	_
15	17	la	la	X	X	_	_	_	_	_
16	18	i-ma-gu-ru	i-ma-gu-ru	X	X	_	_	_	_	_
17	19	la	la	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	x	x	X	X	_	_	_	_	_
20	22	x	x	X	X	_	_	_	_	_
21	23	ki-ma	ki-ma	NOUN	NOUN	Case=Acc|Gender=Masc|Number=Plur	_	_	_	_
22	25	LU₂}ERIM-MEŠ	lu₂}erim-meš	X	X	_	_	_	_	_
23	26	x	x	X	X	_	_	_	_	_
24	27	x	x	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	SpaceAfter=No
