0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	NOUN	AV	Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	1	dep	_	_
2	3	be-li₂-ia	be-li₂-ia	ADV	ADV	_	2	conj	_	_
3	4	ARAD-ka	arad-ka	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
4	6	1}x	1}x	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
5	7	x	x	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	x	x	X	X	_	_	_	_	_
8	10	x	x	X	X	_	_	_	_	_
9	11	a-na	a-na	X	X	_	_	_	_	_
10	12	UGU	ugu	X	X	_	_	_	_	_
11	14	1}x+x	1}x+x	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
12	15	x	x	X	X	_	_	_	_	_
13	16	x	x	X	X	_	_	_	_	_
14	17	x	x	X	X	_	_	_	_	_
15	18	ša	ša	ADP	PRP	_	19	case	_	_
16	19	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
17	20	be-li₂	be-li₂	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
18	21	iš-pur-an-ni	iš-pur-an-ni	NUM	VERB	_	20	nmod:poss	_	_
19	22	ma-a	ma-a	ADP	ADP	_	23	case	_	_
20	23	ša₂-a-la	ša₂-a-la	NOUN	X	_	_	_	_	_
21	24	u₂-ṣi-ṣi	u₂-ṣi-ṣi	NOUN	N	_	23	nmod:poss	_	_
22	25	ma-a	ma-a	DET	X	_	26	case	_	_
23	26	man-nu	man-nu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
24	27	MI₂-MEŠ	mi₂-meš	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	x	x	X	X	_	_	_	_	_
28	31	ša	ša	ADP	PRP	_	32	obj	_	_
29	32	a-na	a-na	VERB	X	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
30	33	ŠA₃-bi	ša₃-bi	NUM	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	x	x	X	X	_	_	_	_	_
33	36	x	x	X	X	_	_	_	_	_
34	37	a-ta-a	a-ta-a	X	X	_	_	_	_	_
35	38	a-x	a-x	X	X	_	_	_	_	_
36	39	x	x	X	X	_	_	_	_	_
37	40	x	x	X	X	_	_	_	_	_
38	41	x	x	X	X	_	_	_	_	_
39	42	x	x	X	X	_	_	_	_	_
40	43	x	x	X	X	_	_	_	_	_
41	44	x	x	X	X	_	_	_	_	_
42	45	x	x	X	X	_	_	_	_	_
43	46	x	x	X	X	_	_	_	_	_
44	47	x	x	X	X	_	_	_	_	_
45	48	x	x	X	X	_	_	_	_	_
46	49	x	x	X	X	_	_	_	_	_
47	50	x	x	X	X	_	_	_	_	_
48	51	ir-x	ir-x	X	X	_	_	_	_	_
49	52	x	x	X	X	_	_	_	_	_
50	53	x	x	X	X	_	_	_	_	_
51	54	x	x	X	X	_	_	_	_	_
52	55	x	x	X	X	_	_	_	_	_
53	56	x	x	X	X	_	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	x	x	X	X	_	_	_	_	_
56	59	i-x+x	i-x+x	X	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	x	x	X	X	_	_	_	_	_
59	62	x	x	X	X	_	_	_	_	_
60	63	x	x	X	X	_	_	_	_	_
61	64	x	x	X	X	_	_	_	_	_
62	65	u₂-x	u₂-x	X	X	_	_	_	_	_
63	66	x	x	X	X	_	_	_	_	_
64	67	x	x	X	X	_	_	_	_	_
65	68	x	x	X	X	_	_	_	_	_
66	69	x	x	X	X	_	_	_	_	_
67	70	x	x	X	X	_	_	_	_	_
68	71	x	x	X	X	_	_	_	_	SpaceAfter=No
