0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	ADV	RP	_	1	dep	_	_
2	3	be-li₂-ia₂	be-li₂-ia₂	VERB	N	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Subordinative=Yes|Tense=Past|VerbForm=Fin|VerbStem=S	_	_	_	_
3	4	ARAD-ka	arad-ka	NOUN	N	Gender=Masc|Number=Plur	3	nmod:poss	_	_
4	6	1}x	1}x	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
5	7	x	x	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	x	x	X	X	_	_	_	_	_
8	10	ina	ina	ADP	PRP	_	_	_	_	_
9	11	UGU	ugu	X	X	_	_	_	_	_
10	12	x+x	x+x	X	X	_	_	_	_	_
11	13	x	x	X	X	_	_	_	_	_
12	14	x	x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	_
15	17	ša	ša	ADP	PRP	_	18	case	_	_
16	18	TA@v	ta@v	NOUN	N	_	_	_	_	_
17	19	E₂.GAL	e₂.gal	PROPN	PROPN	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	x	x	X	X	_	_	_	_	_
20	22	x	x	X	X	_	23	obj	_	_
21	23	iš-pur-u-ni-ni	iš-pur-u-ni-ni	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|VerbForm=Stat|VerbStem=G	_	_	_	_
22	24	x	x	X	X	_	_	_	_	_
23	25	x	x	X	X	_	_	_	_	_
24	27	GIŠ}ziq-pi	giš}ziq-pi	NOUN	NOUN	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	x	x	X	X	_	_	_	_	_
28	31	qur-bu	qur-bu	NOUN	NOUN	_	_	_	_	_
29	32	x	x	X	X	_	_	_	_	_
30	33	x	x	X	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	x	x	X	X	_	_	_	_	_
33	36	URU-MEŠ	uru-meš	X	X	_	_	_	_	_
34	37	x	x	X	X	_	_	_	_	_
35	38	x	x	X	X	_	_	_	_	_
36	39	x	x	X	X	_	_	_	_	_
37	40	x	x	X	X	_	_	_	_	_
38	41	x	x	X	X	_	_	_	_	_
39	42	gab-bu	gab-bu	NOUN	NOUN	Gender=Fem|Number=Sing	_	_	_	_
40	43	x	x	X	X	_	_	_	_	_
41	44	x	x	X	X	_	_	_	_	_
42	45	x	x	X	X	_	_	_	_	_
43	46	x	x	X	X	_	_	_	_	_
44	47	x	x	X	X	_	_	_	_	_
45	48	u₂-dan-x	u₂-dan-x	X	X	_	_	_	_	_
46	49	x	x	X	X	_	_	_	_	_
47	50	x	x	X	X	_	_	_	_	_
48	51	x	x	X	X	_	_	_	_	_
49	52	x	x	X	X	_	_	_	_	_
50	53	la-aš₂-šu₂	la-aš₂-šu₂	NOUN	NOUN	_	_	_	_	_
51	54	x	x	X	X	_	_	_	_	_
52	55	x	x	X	X	_	_	_	_	_
53	56	x	x	X	X	_	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	la	la	X	X	_	_	_	_	_
56	59	i-ma-gur	i-ma-gur	NOUN	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	x	x	X	X	_	_	_	_	_
59	62	x	x	X	X	_	_	_	_	_
60	64	LU₂}x	lu₂}x	NOUN	NOUN	_	_	_	_	_
61	65	x	x	X	X	_	_	_	_	_
62	66	x	x	X	X	_	_	_	_	_
63	67	x	x	X	X	_	_	_	_	_
64	68	x	x	X	X	_	_	_	_	_
65	69	x	x	X	X	_	_	_	_	_
66	70	la	la	X	X	_	_	_	_	_
67	71	i-x	i-x	X	X	_	_	_	_	_
68	72	x	x	X	X	_	_	_	_	_
69	73	x	x	X	X	_	_	_	_	_
70	74	x	x	X	X	_	_	_	_	_
71	75	x	x	X	X	_	_	_	_	_
72	77	GIŠ}ziq-pi	giš}ziq-pi	NOUN	NOUN	_	_	_	_	_
73	78	x	x	X	X	_	_	_	_	_
74	79	x	x	X	X	_	_	_	_	_
75	80	x	x	X	X	_	_	_	_	_
76	81	x	x	X	X	_	_	_	_	_
77	82	ma-a	ma-a	X	X	_	_	_	_	_
78	83	e-x	e-x	X	X	_	_	_	_	_
79	84	x	x	X	X	_	_	_	_	_
80	85	x	x	X	X	_	_	_	_	_
81	86	x	x	X	X	_	_	_	_	_
82	87	x	x	X	X	_	_	_	_	_
83	88	pa-x	pa-x	X	X	_	_	_	_	_
84	89	x	x	X	X	_	_	_	_	_
85	90	x	x	X	X	_	_	_	_	_
86	91	x	x	X	X	_	_	_	_	_
87	92	x	x	X	X	_	_	_	_	_
88	93	ma-a	ma-a	X	X	_	_	_	_	_
89	94	ka-x	ka-x	X	X	_	_	_	_	_
90	95	x	x	X	X	_	_	_	_	_
91	96	x	x	X	X	_	_	_	_	_
92	97	x	x	X	X	_	_	_	_	_
93	98	x	x	X	X	_	_	_	_	_
94	99	la	la	X	X	_	_	_	_	_
95	100	ni-x	ni-x	X	X	_	_	_	_	_
96	101	x	x	X	X	_	_	_	_	_
97	102	x	x	X	X	_	_	_	_	_
98	103	x	x	X	X	_	_	_	_	_
99	104	x	x	X	X	_	_	_	_	_
100	105	ma	ma	X	X	_	_	_	_	_
101	106	za-ku-a-ni	za-ku-a-ni	X	X	_	_	_	_	_
102	107	x	x	X	X	_	_	_	_	_
103	108	x	x	X	X	_	_	_	_	_
104	109	x	x	X	X	_	_	_	_	_
105	111	LU₂}GAR-nu	lu₂}gar-nu	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
106	112	x	x	X	X	_	_	_	_	_
107	113	x	x	X	X	_	_	_	_	_
108	114	x	x	X	X	_	_	_	_	_
109	115	x	x	X	X	_	_	_	_	_
110	116	ha-na-ka	ha-na-ka	NOUN	X	_	_	_	_	_
111	117	x	x	X	X	_	_	_	_	_
112	118	x	x	X	X	_	_	_	_	_
113	119	x	x	X	X	_	_	_	_	_
114	120	x	x	X	X	_	_	_	_	_
115	121	ṭe₃-mu	ṭe₃-mu	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
116	122	x+x	x+x	X	X	_	_	_	_	_
117	123	x	x	X	X	_	_	_	_	_
118	124	x	x	X	X	_	_	_	_	_
119	125	x	x	X	X	_	_	_	_	_
120	126	x	x	X	X	_	_	_	_	_
121	127	ku-mu	ku-mu	NOUN	NOUN	Case=Acc|Gender=Masc|Number=Plur	_	_	_	_
122	128	za-ku-ti	za-ku-ti	NOUN	V	Gender=Fem|Number=Plur	127	nmod	_	_
123	129	x	x	X	X	_	_	_	_	_
124	130	x	x	X	X	_	_	_	_	_
125	131	x	x	X	X	_	_	_	_	_
126	133	LU₂}GAR-nu	lu₂}gar-nu	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
127	134	x	x	X	X	_	_	_	_	_
128	135	x	x	X	X	_	_	_	_	_
129	136	x	x	X	X	_	_	_	_	_
130	137	x	x	X	X	_	_	_	_	_
131	138	x	x	X	X	_	_	_	_	_
132	139	liš-pur	liš-pur	X	X	_	_	_	_	_
133	140	x	x	X	X	_	_	_	_	_
134	141	x	x	X	X	_	_	_	_	_
135	142	x	x	X	X	_	_	_	_	_
136	143	x	x	X	X	_	_	_	_	_
137	144	x	x	X	X	_	_	_	_	_
138	145	x	x	X	X	_	_	_	_	_
139	146	x	x	X	X	_	_	_	_	_
140	147	x	x	X	X	_	_	_	_	_
141	148	x	x	X	X	_	_	_	_	_
142	149	x	x	X	X	_	_	_	_	_
