0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	NOUN	AV	Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	1	dep	_	_
2	3	be-li₂-ia	be-li₂-ia	ADV	ADV	_	2	conj	_	_
3	4	ARAD-ka	arad-ka	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
4	6	1}x	1}x	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
5	7	x	x	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	x	x	X	X	_	_	_	_	_
8	10	x	x	X	X	_	_	_	_	_
9	11	dul₆-lu	dul₆-lu	NOUN	NOUN	_	_	_	_	_
10	12	ša	ša	ADP	PRP	_	_	_	_	_
11	13	x	x	X	X	_	_	_	_	_
12	14	x	x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	_
15	17	dul₆-lu	dul₆-lu	NOUN	NOUN	_	_	_	_	_
16	18	x	x	X	X	_	_	_	_	_
17	19	x	x	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	x	x	X	X	_	_	_	_	_
20	22	x	x	X	X	_	_	_	_	_
21	23	ša	ša	ADP	PRP	_	_	_	_	_
22	24	x	x	X	X	_	_	_	_	_
23	25	x	x	X	X	_	_	_	_	_
24	26	x	x	X	X	_	_	_	_	_
25	27	x	x	X	X	_	_	_	_	_
26	28	x	x	X	X	_	_	_	_	_
27	29	x	x	X	X	_	_	_	_	_
28	30	dul₆-lu	dul₆-lu	NOUN	NOUN	_	_	_	_	_
29	31	x	x	X	X	_	_	_	_	_
30	32	x	x	X	X	_	_	_	_	_
31	33	x	x	X	X	_	_	_	_	_
32	34	x	x	X	X	_	_	_	_	_
33	35	x	x	X	X	_	_	_	_	_
34	36	dul₆-lu	dul₆-lu	NOUN	NOUN	_	_	_	_	_
35	37	x	x	X	X	_	_	_	_	_
36	38	x	x	X	X	_	_	_	_	_
37	39	x	x	X	X	_	_	_	_	_
38	40	x	x	X	X	_	_	_	_	_
39	41	x	x	X	X	_	_	_	_	_
40	42	ina	ina	ADP	PRP	_	_	_	_	_
41	43	ŠA₃-bi	ša₃-bi	PROPN	X	Gender=Masc|Number=Sing	_	_	_	_
42	44	x	x	X	X	_	_	_	_	_
43	45	x	x	X	X	_	_	_	_	_
44	46	x	x	X	X	_	_	_	_	_
45	47	x	x	X	X	_	_	_	_	_
46	48	x	x	X	X	_	_	_	_	_
47	49	x	x	X	X	_	_	_	_	_
48	50	x	x	X	X	_	_	_	_	_
49	51	x	x	X	X	_	_	_	_	_
50	52	x	x	X	X	_	_	_	_	_
51	53	x	x	X	X	_	_	_	_	_
52	54	hu	hu	X	X	_	_	_	_	_
53	55	e	e	X	X	_	_	_	_	SpaceAfter=No
