0	1	x	x	X	X	_	_	_	_	_
1	1	x	x	X	X	_	_	_	_	_
2	2	x	x	X	X	_	_	_	_	_
3	3	x	x	X	X	_	_	_	_	_
4	4	lirdia	redû	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Mood=Prec|VerbStem=G|Ventive=Yes	0	ROOT	_	_
5	1	x	x	X	X	_	_	_	_	_
6	2	x	x	X	X	_	_	_	_	_
7	3	x	x	X	X	_	_	_	_	_
8	4	parriṣūti	parriṣu	NOUN	N	Gender=Masc|Number=Plur	_	_	_	_
9	5	x	x	X	X	_	_	_	_	_
10	6	x	x	X	X	_	_	_	_	_
11	7	x	x	X	X	_	_	_	_	_
12	8	x	x	X	X	_	_	_	_	_
13	9	x	x	X	X	_	10	nsubj	_	_
14	10	lillik	alāku	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Mood=Prec|VerbStem=G	0	ROOT	_	_
