tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
šapāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s101_28,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s101_24,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s101_23,issapranni,muhhi,,http://oracc.org/saao/saa13/P334327,101,101,he sent me to the Inner City for the sacrifices.,,,,,,Literal,,EA,Basic,,,
kamsu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s102_143,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s102_137,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s102_136,kammūsu,muhhi,,http://oracc.org/saao/saa13/P334566,102,102,"Šep-Aššur-aṣbat, the goldsmith, a servant of the king attending to the (offering) pipes of Aššur and of the king",,,,,,,M,EA,Basic,,,Uncertain
alāku,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s111_72,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s111_70,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s111_69,illak,libbi,,http://oracc.org/saao/saa13/P334293,111,111,Adad-of-Plenty will go to the park.,,,,,,Literal,,EA,Basic,,,ina muhhi can be used to mean 'gathered at' as well as' sent to'?
epēšu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_72,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_69,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s117_68,ētapaš,pān,,http://oracc.org/saao/saa13/P334061,117,117,[I performed] the sacrificial offerings before Nab[û and Tašmetu],,,,,,Literal,,AJ,Basic,,,
šaṭāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_174,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_173,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_172,assaṭar,muhhi,,http://oracc.org/saao/saa13/P314330,118,118,I in[scribed the name of the mother of the king] on as many [statues of the mother of the king] as they had made.,,,,,,Literal,,EA,Basic,,,
alāku,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_57,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_56,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s133_55,ussālik,muhhīya,,http://oracc.org/saao/saa13/P334287,133,133,and let my garments go back to me.,,,,,,Basic+,,EA,Basic+,,,
bakû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_165,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_164,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s138_163,abtiki,pānīka,,http://oracc.org/saao/saa13/P334756,138,138,It is before you that I have wept.,,,,,,Literal,,AJ,Basic,,,
zabālu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s147_48,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s147_43,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s147_42,izzibil,muhhi,,http://oracc.org/saao/saa13/P334720,147,147,"Ilu-šezibanni the major domo transp[orted] all the [go]ld,",,,,,,Literal,,EA,Basic,,,
ašābu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s16_112,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s16_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s16_109,tuššab,muhhi,,http://oracc.org/saao/saa13/P314374,16,16,Ištar will proceed to the temple of Gula in the countryside and si[t] on a brick.,,,,,,Literal,,EA,Basic,,,
alāku,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s16_40,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s16_37,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s16_36,tallak,libbi,,http://oracc.org/saao/saa13/P314374,16,16,Ištar] will g[o] through the great gate,,,,,,Literal,,EA,Basic,,,
našû,qātu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_44,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_43,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_42,liššû,qātēšunu,,http://oracc.org/saao/saa13/P334871,32,32,they should raise the ...[GIŠ...] in their hands.,,,,,,Literal,,EA,Literal,,,Uncertain if EA/AJ
bâšu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_87,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_85,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s32_84,ubaʾʾašū,pān,,http://oracc.org/saao/saa13/P334871,32,32,"and they are filing complaints against me before the king (        
di-ib-bi-ia ina pa-an LUGAL ú-ba-ʾa-a-šú-ú)",,,,,,Literal,,AJ,Basic,,,
šaknu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s34_28,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s34_26,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s34_25,šakinūni,pān,,http://oracc.org/saao/saa13/P334653,34,34,The regular sheep offering which was set before Nabû,,,,,,Literal,,EA,Basic,,,
epēšu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s35_51,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s35_49,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s35_48,lēpušu,pān,,http://oracc.org/saao/saa13/P334419,35,35,They should perform them before Tašmetu.,,,,,,Literal,,AJ,Basic,,,
ramû,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s39_27,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s39_25,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s39_24,urtamme,pān,,http://oracc.org/saao/saa13/P334764,39,39,that which NN] brought he left before the gate.,,,,,,Literal,M,AJ,Basic,,,
