tlemma,slemma,rlemma,tidx,sidx,ridx,tword,sword,rword,pcom,sennum,tnum,Translation,Speaker,Addressee,Sender,Recipient,Document_type,Verb_metaphor_status,Verb_metonymy_status,PP_type,PP_metaphor_status,PP_metonymy_status,Bad_analysis,Notes
šasû,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s103_45,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s103_39,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s103_38,asassi,muhhīyāma,,http://oracc.org/saao/saa16/P313805,103,103,,,,,,,,,,,,x,
šapāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s103_8,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s103_7,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s103_6,ašpurūni,muhhīka,,http://oracc.org/saao/saa16/P313805,103,103,,,,,,,,,,,,,
târu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s108_58,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s108_54,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s108_53,atūr,pān,,http://oracc.org/saao/saa16/P334225,108,108,"[I did not become] a do-nothing before the king, m[y] lo[rd]",,,,,,Basic+,,AJ,Basic,,,
šakānu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_119,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_117,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_116,liškun,muhhi,,http://oracc.org/saao/saa16/P334216,115,115,,,,,,,,,,,,,
kamsu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_27,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_25,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_24,kammusūni,muhhi,,http://oracc.org/saao/saa16/P334216,115,115,"When the king, my lord, was seated on the šaddattunu",,,,,,Literal,,EA,Basic,,,
qerēbu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_133,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_131,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_130,niqrib,pān,,http://oracc.org/saao/saa16/P334216,115,115,we will arrive in the ki[ng's] presence...,,,,,,Literal,,EA,Basic,,,
qerēbu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_35,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s115_34,qirib,pān,,http://oracc.org/saao/saa16/P334216,115,115,Arrive before my arms!,,,,,,Literal,,EA,Basic,M,,
sahāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_117,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_116,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_115,ussahhira,muhhīya,,http://oracc.org/saao/saa16/P334608,118,118,,,,,,,,,,,,,
mâtu,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_110,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_107,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_106,amūat,pān,,http://oracc.org/saao/saa16/P334608,118,118,"(Should) it come to pass that I become a nobody before the crown prince, I will die.",,,,,,,,,,,x,
palāhu,libbu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_150,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_144,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_143,laplah,libbi,,http://oracc.org/saao/saa16/P334608,118,118,"may I revere the crown prince, my lord, with my arms and feet!",,,,,,Literal,,AJ,Basic,,,ina libbi = by means of; interesting context; literary
epēšu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_94,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_92,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s118_91,lēpuš,muhhi,,http://oracc.org/saao/saa16/P334608,118,118,,,,,,,,,,,,x,
magāru,pānu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s11_35,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s11_33,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s11_32,immaggur,pānišunu,,http://oracc.org/saao/saa16/P334737,11,11,,,,,,,,,,,,x,
qabû,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_75,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_69,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_68,iqabbi,muhhi,,http://oracc.org/saao/saa16/P336215,120,120,,,,,,,,,,,,,
šakānu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_31,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_29,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s120_28,issakan,muhhīka,,http://oracc.org/saao/saa16/P336215,120,120,,,,,,,,,,,,,
karāru,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_18,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_15,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_14,likruru,muhhi,,http://oracc.org/saao/saa16/P334402,121,121,,,,,,,,,,,,,
epēšu,muhhu,ina,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_12,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_10,https://github.com/megamattc/Akkadian-language-models/tree/main/ak_norm_model/assets/UD_Akkadian/train#s121_9,nēpuš,muhhi,,http://oracc.org/saao/saa16/P334402,121,121,,,,,,,,,,,,,
